No.,Entidad,Organo,Grupo,Emisora,IdEmisora,Fecha de transmisión del material,Hora transmisión,Folio,Versión,Actor,Notificado,Oficio
849,TAMAULIPAS,JDE28-08,"JORGE DE ZAMACONA BRANDON, TAMAULIPAS",XHRRT-FM-92.5,2927,21/10/2023,07:27:24,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_JDE28-08_0047_2023
850,TAMAULIPAS,DATERT,JOSÉ MANUEL CISNEROS DE LOS SANTOS,XHTAO-TDT-CANAL14.3,4254,21/10/2023,13:30:15,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6529_2023
851,TAMAULIPAS,DATERT,JOSÉ MANUEL CISNEROS DE LOS SANTOS,XHTAO-TDT-CANAL14.3,4254,22/10/2023,14:42:55,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6529_2023
852,TAMAULIPAS,DATERT,RADIO TRANSMISORA DEL PACÍFICO,XHNLT-FM-96.1,5159,22/10/2023,20:29:39,RA00817-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6601_2023
853,TAMAULIPAS,DATERT,IMAGEN,XHCTTA-TDT-CANAL25.2,4826,23/10/2023,14:05:03,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
854,TAMAULIPAS,DATERT,IMAGEN,XHCTTA-TDT-CANAL25.2,4826,23/10/2023,21:34:06,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
855,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,24/10/2023,09:03:28,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6673_2023
856,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,24/10/2023,14:17:12,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
857,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,24/10/2023,16:08:31,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6673_2023
858,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,24/10/2023,22:18:40,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
859,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,25/10/2023,09:03:19,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6673_2023
860,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,25/10/2023,14:16:34,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6673_2023
861,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,25/10/2023,22:08:35,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6673_2023
862,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,26/10/2023,14:16:26,RV00635-23,OTRO MEXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6673_2023
863,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,26/10/2023,16:08:38,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6673_2023
864,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,26/10/2023,22:15:38,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
865,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,27/10/2023,09:03:28,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
866,TAMAULIPAS,DATERT,RADIO TRANSMISORA DEL PACÍFICO,XHNLT-FM-96.1,5159,27/10/2023,11:16:15,RA00860-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6601_2023
867,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,27/10/2023,14:16:30,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
868,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,27/10/2023,16:08:34,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6673_2023
869,TAMAULIPAS,DATERT,GRUPO RADIOFONICO DE REYNOSA,XHRKS-FM-103.3,5228,27/10/2023,20:02:35,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_DATERT_6565_2023
870,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,27/10/2023,22:18:30,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6673_2023
871,TAMAULIPAS,DATERT,TV AZTECA,XHLAT-TDT-CANAL33,3361,28/10/2023,09:09:19,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6674_2023
872,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22,4372,28/10/2023,16:08:14,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
873,TAMAULIPAS,DATERT,TELEVISA,XHBR-TDT-CANAL25,3359,29/10/2023,22:35:26,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6466_2023
874,TAMAULIPAS,DATERT,TV AZTECA,XHCDT-TDT-CANAL29,3350,30/10/2023,06:53:16,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6674_2023
875,TAMAULIPAS,DATERT,TV AZTECA,XHTAU-TDT-CANAL21,3371,30/10/2023,06:52:57,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6674_2023
876,TAMAULIPAS,DATERT,TV AZTECA,XHLAT-TDT-CANAL33,3361,30/10/2023,08:28:05,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6674_2023
877,TAMAULIPAS,DATERT,TV AZTECA,XHOR-TDT-CANAL33,3354,30/10/2023,08:28:30,RV00582-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_DATERT_6674_2023
878,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,30/10/2023,10:03:32,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6673_2023
879,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,30/10/2023,15:12:30,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6673_2023
880,TAMAULIPAS,DATERT,IMAGEN,XHTLN-FM-94.1,2144,30/10/2023,17:13:24,RA00860-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
881,TAMAULIPAS,DATERT,RODOLFO JAVIER GARZA GARZA,XHO-FM-93.5,5157,30/10/2023,19:35:28,RA00741-23,OTRO MÉXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_DATERT_6553_2023
882,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,30/10/2023,21:15:36,RV00639-23,MUJERES EN ACCIÓN V1,PAN,Sí,INE_DEPPP_DATERT_6673_2023
883,TAMAULIPAS,DATERT,IMAGEN,XHCTTA-TDT-CANAL25.2,4826,30/10/2023,22:39:10,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
884,TAMAULIPAS,DATERT,TELEVISA,XHBR-TDT-CANAL25,3359,30/10/2023,23:22:26,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6466_2023
885,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,30/10/2023,23:39:09,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6673_2023
886,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,31/10/2023,08:19:36,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6673_2023
887,TAMAULIPAS,DATERT,IMAGEN,XHCTRM-TDT-CANAL22.2,4823,31/10/2023,15:13:03,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6673_2023
