No.,Entidad,Organo,Grupo,Emisora,IdEmisora,Fecha de transmisión del material,Hora transmisión,Folio,Versión,Actor,Notificado,Oficio
942,YUCATÁN,DATERT,TELSUSA DATE,XHTMYU-TDT-CANAL27,5099,22/10/2023,20:34:33,RV00481-23,ALEGRÍA MCN,MC,Sí,INE_DEPPP_DATERT_6474_2023
943,YUCATÁN,DATERT,TV AZTECA,XHKYU-TDT-CANAL23,3299,24/10/2023,08:37:22,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
944,YUCATÁN,DATERT,TV AZTECA,XHKYU-TDT-CANAL23.2,4726,24/10/2023,08:32:18,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
945,YUCATÁN,DATERT,TV AZTECA,XHVAD-TDT-CANAL24,3302,24/10/2023,08:48:41,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
946,YUCATÁN,DATERT,TV AZTECA,XHKYU-TDT-CANAL23,3299,26/10/2023,15:13:52,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
947,YUCATÁN,DATERT,TV AZTECA,XHKYU-TDT-CANAL23.2,4726,26/10/2023,15:57:50,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
948,YUCATÁN,DATERT,TV AZTECA,XHVAD-TDT-CANAL24,3302,26/10/2023,15:38:15,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
949,YUCATÁN,JLE31,UNIVERSIDAD AUTONOMA DE YUCATÁN,XHRUY-FM-103.9,1676,27/10/2023,13:34:18,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_JLE31_0061_2023
950,YUCATÁN,DATERT,TV AZTECA,XHKYU-TDT-CANAL23,3299,27/10/2023,21:03:51,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
951,YUCATÁN,DATERT,TV AZTECA,XHKYU-TDT-CANAL23.2,4726,27/10/2023,21:16:27,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
952,YUCATÁN,DATERT,TV AZTECA,XHVAD-TDT-CANAL24,3302,27/10/2023,23:13:07,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_DATERT_6674_2023
953,YUCATÁN,JLE31,"JOAQUÍN PASQUEL MAYEN, YUCATÁN",XHZ-FM-105.1,2525,28/10/2023,10:05:43,RA00745-23,MUJERES EN ACCIÓN V1 ,PAN,Sí,INE_DEPPP_JLE31_0062_2023
954,YUCATÁN,DATERT,SPREM,XHSPRME-TDT-CANAL23.2,4116,28/10/2023,21:41:00,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6559_2023
955,YUCATÁN,DATERT,LA VOZ EN YUCATÁN Y TROPIRADIO,XHYW-FM-98.9,2995,31/10/2023,12:27:45,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6593_2023
956,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,16/10/2023,09:49:40,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_JLE32_0143_2023
957,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,16/10/2023,12:29:21,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_JLE32_0144_2023
958,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,16/10/2023,14:24:15,RA00745-23,MUJERES EN ACCIÓN V1 ,PAN,Sí,INE_DEPPP_JLE32_0144_2023
959,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,17/10/2023,12:29:50,RA00128-23,EL PT ES LA 4T,PT,Sí,INE_DEPPP_JLE32_0144_2023
960,ZACATECAS,JLE32,LIDIA BONILLA GÓMEZ,XHEMA-FM-107.9,2571,17/10/2023,13:38:06,RA00668-23,EL PAN GOBIERNA MEJOR VF,PAN,Sí,INE_DEPPP_JLE32_0142_2023
961,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,17/10/2023,16:29:01,RA00607-23,OBRA SOCIAL MCNL V2,MC,Sí,INE_DEPPP_JLE32_0143_2023
962,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,18/10/2023,12:35:00,RA00662-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_JLE32_0144_2023
963,ZACATECAS,JLE32,LIDIA BONILLA GÓMEZ,XHEMA-FM-107.9,2571,18/10/2023,14:17:26,RA00621-23,JEEP 3 MCN,MC,Sí,INE_DEPPP_JLE32_0142_2023
964,ZACATECAS,JLE32,LIDIA BONILLA GÓMEZ,XHQS-FM-90.3,2572,19/10/2023,07:17:28,RA00544-23,ALEGRÍA MCN,MC,Sí,INE_DEPPP_JLE32_0142_2023
965,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,19/10/2023,12:35:45,RA00641-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PVEM,Sí,INE_DEPPP_JLE32_0144_2023
966,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,19/10/2023,14:31:58,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_JLE32_0144_2023
967,ZACATECAS,JLE32,LIDIA BONILLA GÓMEZ,XHEMA-FM-107.9,2571,19/10/2023,15:19:36,RA00620-23,JALISCO FUTURO NARANJA,MC,Sí,INE_DEPPP_JLE32_0142_2023
968,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,20/10/2023,07:15:41,RA00128-23,EL PT ES LA 4T,PT,Sí,INE_DEPPP_JLE32_0144_2023
969,ZACATECAS,JLE32,LIDIA BONILLA GÓMEZ,XHQS-FM-90.3,2572,20/10/2023,07:17:30,RA00745-23,MUJERES EN ACCIÓN V1 ,PAN,Sí,INE_DEPPP_JLE32_0142_2023
970,ZACATECAS,JLE32,LIDIA BONILLA GÓMEZ,XHEMA-FM-107.9,2571,20/10/2023,14:43:00,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_JLE32_0142_2023
971,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,20/10/2023,14:28:19,RA00817-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_JLE32_0144_2023
972,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,21/10/2023,07:44:58,RA00607-23,OBRA SOCIAL MCNL V2,MC,Sí,INE_DEPPP_JLE32_0143_2023
973,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,21/10/2023,12:25:45,RA00644-23,DESARROLLO ECONÓMICO NL MCN,MC,Sí,INE_DEPPP_JLE32_0144_2023
974,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,21/10/2023,18:29:28,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_JLE32_0143_2023
975,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,21/10/2023,19:56:30,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_JLE32_0144_2023
976,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,22/10/2023,07:26:28,RA00128-23,EL PT ES LA 4T,PT,Sí,INE_DEPPP_JLE32_0144_2023
977,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,22/10/2023,09:30:52,RA00607-23,OBRA SOCIAL MCNL V2,MC,Sí,INE_DEPPP_JLE32_0143_2023
978,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,22/10/2023,12:57:56,RA00745-23,MUJERES EN ACCIÓN V1 ,PAN,Sí,INE_DEPPP_JLE32_0144_2023
979,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,22/10/2023,14:27:41,RA00623-23,OBRA SOCIAL MCNL V3,MC,Sí,INE_DEPPP_JLE32_0144_2023
980,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,22/10/2023,16:55:11,RA00740-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_JLE32_0144_2023
981,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,22/10/2023,19:57:56,RA00817-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_JLE32_0144_2023
982,ZACATECAS,DATERT,TELEVISA,XHZAT-TDT-CANAL19,3331,22/10/2023,20:33:14,RV00571-23,DESARROLLO ECONÓMICO NL MCN ,MC,Sí,INE_DEPPP_DATERT_6466_2023
983,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,23/10/2023,08:05:52,RA00740-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_JLE32_0144_2023
984,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,23/10/2023,13:43:49,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_JLE32_0144_2023
985,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,23/10/2023,13:31:24,RA00607-23,OBRA SOCIAL MCNL V2,MC,Sí,INE_DEPPP_JLE32_0143_2023
986,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,23/10/2023,20:30:34,RA00741-23,OTRO MÉXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_JLE32_0144_2023
987,ZACATECAS,JLE32,LIDIA BONILLA GÓMEZ,XHEMA-FM-107.9,2571,24/10/2023,14:07:45,RA00668-23,EL PAN GOBIERNA MEJOR VF,PAN,Sí,INE_DEPPP_JLE32_0142_2023
988,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,24/10/2023,15:29:24,RA00607-23,OBRA SOCIAL MCNL V2,MC,Sí,INE_DEPPP_JLE32_0143_2023
989,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,25/10/2023,18:43:30,RA00607-23,OBRA SOCIAL MCNL V2,MC,Sí,INE_DEPPP_JLE32_0143_2023
990,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHGAP-FM-94.7,1698,25/10/2023,19:30:00,RA00727-23,GEOVANNA ZACATECAS V2,PT,Sí,INE_DEPPP_JLE32_0143_2023
991,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,25/10/2023,20:26:46,RA00745-23,MUJERES EN ACCIÓN V1 ,PAN,Sí,INE_DEPPP_JLE32_0144_2023
992,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHGAP-FM-94.7,1698,26/10/2023,10:35:24,RA00727-23,GEOVANNA ZACATECAS V2,PT,Sí,INE_DEPPP_JLE32_0143_2023
993,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,26/10/2023,10:36:22,RA00741-23,OTRO MÉXICO ES POSIBLE V2,PRD,Sí,INE_DEPPP_JLE32_0144_2023
994,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,26/10/2023,20:26:21,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_JLE32_0144_2023
995,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,26/10/2023,20:19:44,RA00607-23,OBRA SOCIAL MCNL V2,MC,Sí,INE_DEPPP_JLE32_0143_2023
996,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHGAP-FM-94.7,1698,27/10/2023,07:20:37,RA00597-23,RADIO1MAZ,MAZ,Sí,INE_DEPPP_JLE32_0143_2023
997,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,27/10/2023,07:14:34,RA00597-23,RADIO1MAZ,MAZ,Sí,INE_DEPPP_JLE32_0143_2023
998,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHGAP-FM-94.7,1698,27/10/2023,09:35:52,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_JLE32_0143_2023
999,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,27/10/2023,09:35:24,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_JLE32_0143_2023
1000,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHGAP-FM-94.7,1698,27/10/2023,12:20:58,RA00745-23,MUJERES EN ACCIÓN V1 ,PAN,Sí,INE_DEPPP_JLE32_0143_2023
1001,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHZTS-FM-91.5,1703,27/10/2023,12:30:11,RA00745-23,MUJERES EN ACCIÓN V1 ,PAN,Sí,INE_DEPPP_JLE32_0143_2023
1002,ZACATECAS,JLE32,FRANCISCO ESPARZA ACEVEDO,XHGAP-FM-94.7,1698,27/10/2023,13:20:06,RA00727-23,GEOVANNA ZACATECAS V2,PT,Sí,INE_DEPPP_JLE32_0143_2023
1003,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,28/10/2023,08:07:06,RA00818-23,TEMPLO MAYOR MD,MORENA,Sí,INE_DEPPP_JLE32_0144_2023
1004,ZACATECAS,DATERT,SERGIO FAJARDO Y ORTIZ ZAC 2,XHRRA-FM-106.1,3064,28/10/2023,08:00:56,RA00860-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6557_2023
1005,ZACATECAS,DATERT,SERGIO FAJARDO Y ORTIZ ZAC 2,XHYQ-FM-98.5,2574,28/10/2023,10:00:36,RA00740-23,OTRO MÉXICO ES POSIBLE V1,PRD,Sí,INE_DEPPP_DATERT_6557_2023
1006,ZACATECAS,DATERT,SPREM,XHSPRZC-TDT-CANAL15.2,4197,28/10/2023,21:41:03,RV00717-23,DANTE GRANDEZA,MC,Sí,INE_DEPPP_DATERT_6559_2023
1007,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,29/10/2023,08:30:13,RA00128-23,EL PT ES LA 4T,PT,Sí,INE_DEPPP_JLE32_0144_2023
1008,ZACATECAS,DATERT,JAIME TORRES GALLEGOS,XHEL-FM-95.1,2573,29/10/2023,09:03:41,RA00604-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6517_2023
1009,ZACATECAS,DATERT,SPREM,XHSPRZC-TDT-CANAL15.2,4197,29/10/2023,14:00:34,RV00531-23,LATIDOS MORENA,MORENA,Sí,INE_DEPPP_DATERT_6559_2023
1010,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,30/10/2023,07:20:19,RA00662-23,CLASE MEDIA,PRI,Sí,INE_DEPPP_JLE32_0144_2023
1011,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,30/10/2023,09:15:24,RA00128-23,EL PT ES LA 4T,PT,Sí,INE_DEPPP_JLE32_0144_2023
1012,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,31/10/2023,07:16:19,RA00817-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PVEM,Sí,INE_DEPPP_JLE32_0144_2023
1013,ZACATECAS,DATERT,IMAGEN,XHCTZA-TDT-CANAL27,4293,31/10/2023,09:17:28,RV00584-23,POBREZA,PRI,Sí,INE_DEPPP_DATERT_6673_2023
1014,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,31/10/2023,09:17:06,RA00664-23,POBREZA,PRI,Sí,INE_DEPPP_JLE32_0144_2023
1015,ZACATECAS,JLE32,TV ZAC,XHPFRZ-FM-94.3,4695,31/10/2023,12:33:54,RA00128-23,EL PT ES LA 4T,PT,Sí,INE_DEPPP_JLE32_0144_2023
1016,ZACATECAS,DATERT,IMAGEN,XHCTZA-TDT-CANAL27,4293,31/10/2023,14:37:39,RV00112-23,PT ES LA 4T,PT,Sí,INE_DEPPP_DATERT_6673_2023
