No.,ESTADO,CEVEM,MEDIO,SIGLAS,EMISORA,MATERIAL,VERSIÓN,TIPO ACTOR,ACTOR,FECHA TRANSMISIÓN,HORA TRANSMISIÓN,CALIFICACIÓN,NOMBRE CONCESIONARIO,TIPO CONCESIÓN,NOMBRE DE ESTACIÓN,TIPO MEDIO,MEDIO (RADIO/TELEVISIÓN)
1,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00639-23,MUJERES EN ACCIÓN V1,PP,PAN,2023-10-17,22:40:46,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
2,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00531-23,LATIDOS MORENA,PP,MORENA,2023-10-18,22:40:14,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
3,AGUASCALIENTES,1-AGUASCALIENTES,88.7,XHBI-FM,XHBI-FM-88.7,RA00779-23,C4_SD_FECHA LÍMITE CAMBIO DE DOMICILIO RE_0923_RD,AE,INE,2023-10-20,09:26:04,EXCEDENTE,"Radio Central, S.A. de C.V.",RADIO CONCESIONADO,Radio BI,FM  ,RADIO
4,AGUASCALIENTES,1-AGUASCALIENTES,98.9,XHERO-FM,XHERO-FM-98.9,RA00779-23,C4_SD_FECHA LÍMITE CAMBIO DE DOMICILIO RE_0923_RD,AE,INE,2023-10-20,09:32:48,EXCEDENTE,"Radio Central, S.A. de C.V.",RADIO CONCESIONADO,La Invasora,FM  ,RADIO
5,AGUASCALIENTES,1-AGUASCALIENTES,101.7,XHUNO-FM,XHUNO-FM-101.7,RA00779-23,C4_SD_FECHA LÍMITE CAMBIO DE DOMICILIO RE_0923_RD,AE,INE,2023-10-20,09:35:21,EXCEDENTE,"Radio Central, S.A. de C.V.",RADIO CONCESIONADO,Magia 101,FM  ,RADIO
6,AGUASCALIENTES,1-AGUASCALIENTES,90.5,XHUVA-FM,XHUVA-FM-90.5,RA00779-23,C4_SD_FECHA LÍMITE CAMBIO DE DOMICILIO RE_0923_RD,AE,INE,2023-10-20,09:35:21,EXCEDENTE,"Radio Central, S.A. de C.V.",RADIO CONCESIONADO,Uva 90.5,FM  ,RADIO
7,AGUASCALIENTES,1-AGUASCALIENTES,107.7,XHYZ-FM,XHYZ-FM-107.7,RA00779-23,C4_SD_FECHA LÍMITE CAMBIO DE DOMICILIO RE_0923_RD,AE,INE,2023-10-20,09:36:36,EXCEDENTE,"Radio Central, S.A. de C.V.",RADIO CONCESIONADO,La Poderosa,FM  ,RADIO
8,AGUASCALIENTES,1-AGUASCALIENTES,105.3,XHUZ-FM,XHUZ-FM-105.3,RA00779-23,C4_SD_FECHA LÍMITE CAMBIO DE DOMICILIO RE_0923_RD,AE,INE,2023-10-20,09:43:49,EXCEDENTE,"Radio Central, S.A. de C.V.",RADIO CONCESIONADO,105 Digital,FM  ,RADIO
9,AGUASCALIENTES,1-AGUASCALIENTES,104.5,XHDC-FM,XHDC-FM-104.5,RA00817-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PP,PVEM,2023-10-20,14:33:51,EXCEDENTE,"Radio XEDC, S.A. de C.V.",RADIO CONCESIONADO,Amor,FM  ,RADIO
10,AGUASCALIENTES,1-AGUASCALIENTES,CANAL30,XHJCM-TDT,XHJCM-TDT-CANAL30,RV00531-23,LATIDOS MORENA,PP,MORENA,2023-10-20,21:05:15,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca Uno,TDT,TELEVISIÓN
11,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00582-23,CLASE MEDIA,PP,PRI,2023-10-20,22:39:04,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
12,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00613-23,LAS ELECCIONES SON NUESTRAS,AE,IECM,2023-10-23,14:12:32,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
13,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00639-23,MUJERES EN ACCIÓN V1,PP,PAN,2023-10-23,21:34:30,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
14,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00700-23,C5_SA_APP CANDIDATURAS INDEPENDIENTES_1023_TV,AE,INE,2023-10-23,22:39:52,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
15,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00656-23,C4_SD_FECHA LÍMITE INSCRIPCIÓN AL PADRÓN ELECTORAL RE_0923_TV,AE,INE,2023-10-24,22:39:54,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
16,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00661-23,C1_SA_REGISTRO EN LA LNERE VMRE RE_0923_TV,AE,INE,2023-10-27,22:40:26,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
17,AGUASCALIENTES,1-AGUASCALIENTES,CANAL15.6,XHSPRAG-TDT,XHSPRAG-TDT-CANAL15.6,RV00613-23,LAS ELECCIONES SON NUESTRAS,AE,IECM,2023-10-29,07:13:10,EXCEDENTE,Sistema Público de Radiodifusión del Estado Mexicano,TELEVISION PERMISIONADO,Canal del Congreso,TDT,TELEVISIÓN
18,AGUASCALIENTES,1-AGUASCALIENTES,CANAL15,XHSPRAG-TDT,XHSPRAG-TDT-CANAL15,RV00613-23,LAS ELECCIONES SON NUESTRAS,AE,IECM,2023-10-29,07:47:42,EXCEDENTE,Sistema Público de Radiodifusión del Estado Mexicano,TELEVISION PERMISIONADO,Canal Catorce,TDT,TELEVISIÓN
19,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00717-23,DANTE GRANDEZA,PP,MC,2023-10-30,22:39:11,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
20,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00639-23,MUJERES EN ACCIÓN V1,PP,PAN,2023-10-31,22:40:20,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
21,BAJA CALIFORNIA,2-MEXICALI,1120,XEMX-AM,XEMX-AM-1120,RA00781-23,C4_SD_FECHA LÍMITE RENOVACIÓN DE LA INE RE_0923_RD,AE,INE,2023-10-16,07:59:01,EXCEDENTE,"Stereorey México, S.A.",RADIO CONCESIONADO,MVS Noticias,AM  ,RADIO
22,BAJA CALIFORNIA,2-MEXICALI,101.3,XHABCA-FM,XHABCA-FM-101.3,RA00644-23,DESARROLLO ECONÓMICO NL MCN,PP,MC,2023-10-16,16:36:11,EXCEDENTE,"Stereorey Mexicali, S.A.",RADIO CONCESIONADO,S/D,FM  ,RADIO
23,BAJA CALIFORNIA,2-MEXICALI,820,XEABCA-AM,XEABCA-AM-820,RA00644-23,DESARROLLO ECONÓMICO NL MCN,PP,MC,2023-10-16,16:37:00,EXCEDENTE,"Stereorey Mexicali, S.A.",RADIO CONCESIONADO,La Kebuena,AM  ,RADIO
24,BAJA CALIFORNIA,2-MEXICALI,CANAL20.2,XHILA-TDT,XHILA-TDT-CANAL20.2,RV00635-23,OTRO MEXICO ES POSIBLE V2,PP,PRD,2023-10-17,22:18:06,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias-2,TDT,TELEVISIÓN
