No.,ESTADO,CEVEM,MEDIO,SIGLAS,EMISORA,MATERIAL,VERSIÓN,TIPO ACTOR,ACTOR,FECHA TRANSMISIÓN,HORA TRANSMISIÓN,CALIFICACIÓN,NOMBRE CONCESIONARIO,TIPO CONCESIÓN,NOMBRE DE ESTACIÓN,TIPO MEDIO,MEDIO (RADIO/TELEVISIÓN)
25,BAJA CALIFORNIA,2-MEXICALI,CANAL17.2,XHCTME-TDT,XHCTME-TDT-CANAL17.2,RV00639-23,MUJERES EN ACCIÓN V1,PP,PAN,2023-10-17,22:42:23,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
26,BAJA CALIFORNIA,2-MEXICALI,CANAL20.2,XHILA-TDT,XHILA-TDT-CANAL20.2,RV00565-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PP,PVEM,2023-10-18,06:17:59,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias-2,TDT,TELEVISIÓN
27,BAJA CALIFORNIA,2-MEXICALI,CANAL20.2,XHILA-TDT,XHILA-TDT-CANAL20.2,RV00006-23,VOCES CIUDADANAS TV,AE,TJEBC,2023-10-18,15:01:17,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias-2,TDT,TELEVISIÓN
28,BAJA CALIFORNIA,2-MEXICALI,CANAL20,XHILA-TDT,XHILA-TDT-CANAL20,RV00531-23,LATIDOS MORENA,PP,MORENA,2023-10-19,13:27:36,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias,TDT,TELEVISIÓN
29,BAJA CALIFORNIA,2-MEXICALI,CANAL20,XHILA-TDT,XHILA-TDT-CANAL20,RV00565-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PP,PVEM,2023-10-19,21:17:47,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias,TDT,TELEVISIÓN
30,BAJA CALIFORNIA,2-MEXICALI,CANAL20.2,XHILA-TDT,XHILA-TDT-CANAL20.2,RV00549-23,JALISCO FUTURO NARANJA,PP,MC,2023-10-20,06:27:46,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias-2,TDT,TELEVISIÓN
31,BAJA CALIFORNIA,2-MEXICALI,CANAL25,XHEXT-TDT,XHEXT-TDT-CANAL25,RV00700-23,C5_SA_APP CANDIDATURAS INDEPENDIENTES_1023_TV,AE,INE,2023-10-20,12:39:25,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
32,BAJA CALIFORNIA,2-MEXICALI,CANAL17.2,XHCTME-TDT,XHCTME-TDT-CANAL17.2,RV00582-23,CLASE MEDIA,PP,PRI,2023-10-20,22:39:45,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
33,BAJA CALIFORNIA,2-MEXICALI,CANAL20.2,XHILA-TDT,XHILA-TDT-CANAL20.2,RV00639-23,MUJERES EN ACCIÓN V1,PP,PAN,2023-10-21,06:16:02,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias-2,TDT,TELEVISIÓN
34,BAJA CALIFORNIA,2-MEXICALI,CANAL25,XHEXT-TDT,XHEXT-TDT-CANAL25,RV00610-23,LOGROS MONTERREY MCNL,PP,MC,2023-10-21,13:10:22,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
35,BAJA CALIFORNIA,2-MEXICALI,CANAL25.2,XHEXT-TDT,XHEXT-TDT-CANAL25.2,RV00610-23,LOGROS MONTERREY MCNL,PP,MC,2023-10-21,13:28:13,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,A+,TDT,TELEVISIÓN
36,BAJA CALIFORNIA,2-MEXICALI,CANAL25,XHEXT-TDT,XHEXT-TDT-CANAL25,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PP,PRD,2023-10-21,19:09:22,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
37,BAJA CALIFORNIA,2-MEXICALI,CANAL25.2,XHEXT-TDT,XHEXT-TDT-CANAL25.2,RV00628-23,OTRO MÉXICO ES POSIBLE V1,PP,PRD,2023-10-21,19:09:48,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,A+,TDT,TELEVISIÓN
38,BAJA CALIFORNIA,2-MEXICALI,CANAL28,XHAQ-TDT,XHAQ-TDT-CANAL28,RV00571-23,DESARROLLO ECONÓMICO NL MCN ,PP,MC,2023-10-21,21:16:19,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca Uno,TDT,TELEVISIÓN
39,BAJA CALIFORNIA,2-MEXICALI,CANAL25.2,XHEXT-TDT,XHEXT-TDT-CANAL25.2,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PP,PVEM,2023-10-21,21:24:19,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,A+,TDT,TELEVISIÓN
40,BAJA CALIFORNIA,2-MEXICALI,CANAL25,XHEXT-TDT,XHEXT-TDT-CANAL25,RV00691-23,EL VERDE CON LOS PROGRAMAS SOCIALES ,PP,PVEM,2023-10-21,21:41:30,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
41,BAJA CALIFORNIA,2-MEXICALI,940,XEMMM-AM,XEMMM-AM-940,RA00604-23,LATIDOS MORENA,PP,MORENA,2023-10-22,08:23:28,EXCEDENTE,"Radio Cañón, S.A. de C.V.",RADIO CONCESIONADO,W,AM  ,RADIO
42,BAJA CALIFORNIA,2-MEXICALI,CANAL20,XHILA-TDT,XHILA-TDT-CANAL20,RV00546-23,PROMOPESBC1,PP,PES,2023-10-22,11:23:40,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias,TDT,TELEVISIÓN
43,BAJA CALIFORNIA,2-MEXICALI,CANAL20.2,XHILA-TDT,XHILA-TDT-CANAL20.2,RV00662-23,C4_SD_FECHA LÍMITE TRÁMITES REGISTRALES RE_0923_TV,AE,INE,2023-10-22,15:07:02,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias-2,TDT,TELEVISIÓN
44,BAJA CALIFORNIA,2-MEXICALI,CANAL17.2,XHCTME-TDT,XHCTME-TDT-CANAL17.2,RV00700-23,C5_SA_APP CANDIDATURAS INDEPENDIENTES_1023_TV,AE,INE,2023-10-23,22:40:05,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
45,BAJA CALIFORNIA,2-MEXICALI,940,XEMMM-AM,XEMMM-AM-940,RA00828-23,C5_SA_APP CANDIDATURAS INDEPENDIENTES_1023_RD,AE,INE,2023-10-24,18:14:20,EXCEDENTE,"Radio Cañón, S.A. de C.V.",RADIO CONCESIONADO,W,AM  ,RADIO
46,BAJA CALIFORNIA,2-MEXICALI,CANAL17.2,XHCTME-TDT,XHCTME-TDT-CANAL17.2,RV00656-23,C4_SD_FECHA LÍMITE INSCRIPCIÓN AL PADRÓN ELECTORAL RE_0923_TV,AE,INE,2023-10-24,22:40:01,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
47,BAJA CALIFORNIA,2-MEXICALI,1120,XEMX-AM,XEMX-AM-1120,RA00740-23,OTRO MÉXICO ES POSIBLE V1,PP,PRD,2023-10-25,07:34:21,EXCEDENTE,"Stereorey México, S.A.",RADIO CONCESIONADO,MVS Noticias,AM  ,RADIO
48,BAJA CALIFORNIA,2-MEXICALI,CANAL20.2,XHILA-TDT,XHILA-TDT-CANAL20.2,RV00192-23,DERECHOS FUNDAMENTALES TV,AE,TJEBC,2023-10-26,06:00:24,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias-2,TDT,TELEVISIÓN
49,BAJA CALIFORNIA,2-MEXICALI,CANAL17.2,XHCTME-TDT,XHCTME-TDT-CANAL17.2,RV00661-23,C1_SA_REGISTRO EN LA LNERE VMRE RE_0923_TV,AE,INE,2023-10-27,21:40:09,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
50,BAJA CALIFORNIA,2-MEXICALI,CANAL20.2,XHILA-TDT,XHILA-TDT-CANAL20.2,RV00717-23,DANTE GRANDEZA,PP,MC,2023-10-28,06:03:20,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias-2,TDT,TELEVISIÓN
51,BAJA CALIFORNIA,2-MEXICALI,940,XEMMM-AM,XEMMM-AM-940,RA00619-23,JALISCO DERECHO A LA ALEGRÍA,PP,MC,2023-10-28,08:05:22,EXCEDENTE,"Radio Cañón, S.A. de C.V.",RADIO CONCESIONADO,W,AM  ,RADIO
52,BAJA CALIFORNIA,2-MEXICALI,CANAL28,XHAQ-TDT,XHAQ-TDT-CANAL28,RV00659-23,C4_SD_FECHA LÍMITE RENOVACIÓN DE LA INE RE_0923_TV,AE,INE,2023-10-28,12:21:29,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca Uno,TDT,TELEVISIÓN
53,BAJA CALIFORNIA,2-MEXICALI,CANAL25.2,XHEXT-TDT,XHEXT-TDT-CANAL25.2,RV00659-23,C4_SD_FECHA LÍMITE RENOVACIÓN DE LA INE RE_0923_TV,AE,INE,2023-10-28,12:28:20,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,A+,TDT,TELEVISIÓN
54,BAJA CALIFORNIA,2-MEXICALI,CANAL28.2,XHAQ-TDT,XHAQ-TDT-CANAL28.2,RV00659-23,C4_SD_FECHA LÍMITE RENOVACIÓN DE LA INE RE_0923_TV,AE,INE,2023-10-28,12:32:38,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,ADN 40,TDT,TELEVISIÓN
55,BAJA CALIFORNIA,2-MEXICALI,105.5,XHCMS-FM,XHCMS-FM-105.5,RA00700-23,C5_SA_DISTRIB_FINANCIAMIENTO_082023_RD,AE,INE,2023-10-28,12:59:20,EXCEDENTE,"GIM Televisión Nacional, S.A. de C.V.",RADIO CONCESIONADO,Imagen,FM  ,RADIO
56,BAJA CALIFORNIA,2-MEXICALI,92.3,XHMMF-FM,XHMMF-FM-92.3,RA00860-23,DANTE GRANDEZA,PP,MC,2023-10-28,21:56:45,EXCEDENTE,"Efemmex, S.A. de C.V.",RADIO CONCESIONADO,La Poderosa FM,FM  ,RADIO
57,BAJA CALIFORNIA,2-MEXICALI,92.3,XHMMF-FM,XHMMF-FM-92.3,RA00741-23,OTRO MÉXICO ES POSIBLE V2,PP,PRD,2023-10-28,22:13:14,EXCEDENTE,"Efemmex, S.A. de C.V.",RADIO CONCESIONADO,La Poderosa FM,FM  ,RADIO
58,BAJA CALIFORNIA,2-MEXICALI,CANAL20.2,XHILA-TDT,XHILA-TDT-CANAL20.2,RV00112-23,PT ES LA 4T,PP,PT,2023-10-29,10:29:19,EXCEDENTE,"Intermedia y Asociados de Mexicali, S.A. de C.V.",TELEVISION CONCESIONADO,El Canal de las Noticias-2,TDT,TELEVISIÓN
59,BAJA CALIFORNIA,2-MEXICALI,1150,XERM-AM,XERM-AM-1150,RA00662-23,CLASE MEDIA,PP,PRI,2023-10-30,07:23:28,EXCEDENTE,"Media Sports de México, S.A. de C.V.",RADIO CONCESIONADO,Radio Fórmula,AM  ,RADIO
60,BAJA CALIFORNIA,2-MEXICALI,CANAL28,XHAQ-TDT,XHAQ-TDT-CANAL28,RV00614-23,TECDMX TV NOTICIERO,AE,TECDMX,2023-10-30,12:16:41,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca Uno,TDT,TELEVISIÓN
61,BAJA CALIFORNIA,2-MEXICALI,CANAL17.2,XHCTME-TDT,XHCTME-TDT-CANAL17.2,RV00717-23,DANTE GRANDEZA,PP,MC,2023-10-30,21:39:14,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
62,BAJA CALIFORNIA,2-MEXICALI,910,XEAO-AM,XEAO-AM-910,RA00664-23,POBREZA,PP,PRI,2023-10-31,09:40:27,EXCEDENTE,"La Voz de Mexicali, S.A.",RADIO CONCESIONADO,Radio Mexicana,AM  ,RADIO
63,BAJA CALIFORNIA,2-MEXICALI,CANAL25,XHEXT-TDT,XHEXT-TDT-CANAL25,RV00196-23,V01-TV-FEPADECDMX-160323,AE,FEPADECM,2023-10-31,14:37:57,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
64,BAJA CALIFORNIA,2-MEXICALI,CANAL25,XHEXT-TDT,XHEXT-TDT-CANAL25,RV00531-23,LATIDOS MORENA,PP,MORENA,2023-10-31,19:14:01,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
65,BAJA CALIFORNIA,2-MEXICALI,CANAL25.2,XHEXT-TDT,XHEXT-TDT-CANAL25.2,RV00531-23,LATIDOS MORENA,PP,MORENA,2023-10-31,19:21:35,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,A+,TDT,TELEVISIÓN
66,BAJA CALIFORNIA,2-MEXICALI,CANAL25.2,XHEXT-TDT,XHEXT-TDT-CANAL25.2,RV00639-23,MUJERES EN ACCIÓN V1,PP,PAN,2023-10-31,21:06:28,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,A+,TDT,TELEVISIÓN
67,BAJA CALIFORNIA,3-ENSENADA,104.1,XHADA-FM,XHADA-FM-104.1,RA00641-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PP,PVEM,2023-10-17,06:47:22,EXCEDENTE,"Stereorey México, S.A.",RADIO CONCESIONADO,EXA FM,FM  ,RADIO
68,BAJA CALIFORNIA,3-ENSENADA,104.1,XHADA-FM,XHADA-FM-104.1,RA00782-23,C1_SA_REGISTRO EN LA LNERE VMRE RE_0923_RD,AE,INE,2023-10-18,07:51:58,EXCEDENTE,"Stereorey México, S.A.",RADIO CONCESIONADO,EXA FM,FM  ,RADIO
69,BAJA CALIFORNIA,3-ENSENADA,104.1,XHADA-FM,XHADA-FM-104.1,RA00544-23,ALEGRÍA MCN,PP,MC,2023-10-19,06:41:23,EXCEDENTE,"Stereorey México, S.A.",RADIO CONCESIONADO,EXA FM,FM  ,RADIO
70,BAJA CALIFORNIA,3-ENSENADA,CANAL20,XHENT-TDT,XHENT-TDT-CANAL20,RV00700-23,C5_SA_APP CANDIDATURAS INDEPENDIENTES_1023_TV,AE,INE,2023-10-20,12:39:54,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
71,BAJA CALIFORNIA,3-ENSENADA,CANAL16,XHENE-TDT,XHENE-TDT-CANAL16,RV00571-23,DESARROLLO ECONÓMICO NL MCN ,PP,MC,2023-10-21,21:16:41,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca Uno,TDT,TELEVISIÓN
72,BAJA CALIFORNIA,3-ENSENADA,CANAL16,XHENE-TDT,XHENE-TDT-CANAL16,RV00112-23,PT ES LA 4T,PP,PT,2023-10-22,09:59:40,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca Uno,TDT,TELEVISIÓN
73,BAJA CALIFORNIA,3-ENSENADA,92.9,XHFZO-FM,XHFZO-FM-92.9,RA00740-23,OTRO MÉXICO ES POSIBLE V1,PP,PRD,2023-10-23,08:15:38,EXCEDENTE,"Grupo Uzivra, S.A. de C.V.",RADIO CONCESIONADO,Fiesta Mexicana,FM  ,RADIO
74,BAJA CALIFORNIA,3-ENSENADA,92.1,XHHC-FM,XHHC-FM-92.1,RA00783-23,C4_SD_FECHA LÍMITE TRÁMITES REGISTRALES RE_0923_RD,AE,INE,2023-10-28,14:26:27,EXCEDENTE,"Radio Informativa, S.A. de C.V.",RADIO CONCESIONADO,La Caliente,FM  ,RADIO
75,BAJA CALIFORNIA,3-ENSENADA,CANAL20,XHENT-TDT,XHENT-TDT-CANAL20,RV00582-23,CLASE MEDIA,PP,PRI,2023-10-30,06:20:04,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
76,BAJA CALIFORNIA,4-TIJUANA,1700,XEPE-AM,XEPE-AM-1700,RA00745-23,MUJERES EN ACCIÓN V1 ,PP,PAN,2023-10-16,07:23:00,EXCEDENTE,"Media Sports de México, S.A. de C.V.",RADIO CONCESIONADO,San Diego 1700 AM,AM  ,RADIO
77,BAJA CALIFORNIA,4-TIJUANA,1700,XEPE-AM,XEPE-AM-1700,RA00664-23,POBREZA,PP,PRI,2023-10-16,16:22:55,EXCEDENTE,"Media Sports de México, S.A. de C.V.",RADIO CONCESIONADO,San Diego 1700 AM,AM  ,RADIO
78,BAJA CALIFORNIA,4-TIJUANA,1700,XEPE-AM,XEPE-AM-1700,RA00641-23,TRABAJAMOS POR LA JUSTICIA AMBIENTAL V2,PP,PVEM,2023-10-17,16:22:30,EXCEDENTE,"Media Sports de México, S.A. de C.V.",RADIO CONCESIONADO,San Diego 1700 AM,AM  ,RADIO
79,BAJA CALIFORNIA,4-TIJUANA,1700,XEPE-AM,XEPE-AM-1700,RA00782-23,C1_SA_REGISTRO EN LA LNERE VMRE RE_0923_RD,AE,INE,2023-10-18,08:22:00,EXCEDENTE,"Media Sports de México, S.A. de C.V.",RADIO CONCESIONADO,San Diego 1700 AM,AM  ,RADIO
80,BAJA CALIFORNIA,4-TIJUANA,1700,XEPE-AM,XEPE-AM-1700,RA00781-23,C4_SD_FECHA LÍMITE RENOVACIÓN DE LA INE RE_0923_RD,AE,INE,2023-10-18,13:22:35,EXCEDENTE,"Media Sports de México, S.A. de C.V.",RADIO CONCESIONADO,San Diego 1700 AM,AM  ,RADIO
