No.,ESTADO,CEVEM,MEDIO,SIGLAS,EMISORA,MATERIAL,VERSIÓN,TIPO ACTOR,ACTOR,FECHA TRANSMISIÓN,HORA TRANSMISIÓN,CALIFICACIÓN,NOMBRE CONCESIONARIO,TIPO CONCESIÓN,NOMBRE DE ESTACIÓN,TIPO MEDIO,MEDIO (RADIO/TELEVISIÓN)
1,CHIAPAS,18-PALENQUE,99.9,XHEMZ-FM,XHEMZ-FM-99.9,RA00269-22,QUÉ ES Y COMO TRABAJA EL TEPJF 01,AE,TEPJF,2023-11-21,07:15:18,EXCEDENTE,Nora María Cantón Martínez de Escobar,RADIO CONCESIONADO,Oye 99.9,FM  ,RADIO
2,CHIAPAS,18-PALENQUE,99.9,XHEMZ-FM,XHEMZ-FM-99.9,RA00782-23,C1_SA_REGISTRO EN LA LNERE VMRE RE_0923_RD,AE,INE,2023-11-21,07:28:24,EXCEDENTE,Nora María Cantón Martínez de Escobar,RADIO CONCESIONADO,Oye 99.9,FM  ,RADIO
3,CHIAPAS,18-PALENQUE,CANAL26,XHTOE-TDT,XHTOE-TDT-CANAL26,RV00814-23,LATIDOS V2,PP,PRD,2023-11-21,15:19:11,EXCEDENTE,"Tele-Emisoras del Sureste, S.A. de C.V.",TELEVISION CONCESIONADO,Canal 13,TDT,TELEVISIÓN
4,CHIAPAS,18-PALENQUE,CANAL26,XHTOE-TDT,XHTOE-TDT-CANAL26,RV00842-23,JM TAB ,PP,MORENA,2023-11-21,15:20:02,EXCEDENTE,"Tele-Emisoras del Sureste, S.A. de C.V.",TELEVISION CONCESIONADO,Canal 13,TDT,TELEVISIÓN
5,TABASCO,126-CENTRO,102.5,XHUTT-FM,XHUTT-FM-102.5,RA00820-23,C1_SA_CONVOCATORIA SE-CAE_1023_RD,AE,INE,2023-11-15,14:06:40,EXCEDENTE,Universidad Tecnológica de Tabasco,RADIO PERMISIONADO,S/D,FM  ,RADIO
6,TABASCO,126-CENTRO,91.7,XHVA-FM,XHVA-FM-91.7,RA00984-23,PRE TAB V3,PP,MORENA,2023-11-15,16:41:24,EXCEDENTE,"Radio Tabasco, S.A.",RADIO CONCESIONADO,La Emisora del Hogar,FM  ,RADIO
7,TABASCO,126-CENTRO,95.7,XHTAB-FM,XHTAB-FM-95.7,RA00984-23,PRE TAB V3,PP,MORENA,2023-11-15,16:53:06,EXCEDENTE,"La Voz de Tabasco, S.A. de C.V.",RADIO CONCESIONADO,"Radio Tabasco, La Juvenil",FM  ,RADIO
8,TABASCO,126-CENTRO,90.1,XHSAT-FM,XHSAT-FM-90.1,RA00925-23,LATIDOS,PP,PRD,2023-11-15,19:46:56,EXCEDENTE,"Radio XHSAT, S. de R.L. de C.V.",RADIO CONCESIONADO,Mix 90.1,FM  ,RADIO
9,TABASCO,126-CENTRO,95.7,XHTAB-FM,XHTAB-FM-95.7,RA00984-23,PRE TAB V3,PP,MORENA,2023-11-16,06:45:38,EXCEDENTE,"La Voz de Tabasco, S.A. de C.V.",RADIO CONCESIONADO,"Radio Tabasco, La Juvenil",FM  ,RADIO
10,TABASCO,126-CENTRO,91.7,XHVA-FM,XHVA-FM-91.7,RA00984-23,PRE TAB V3,PP,MORENA,2023-11-16,06:45:44,EXCEDENTE,"Radio Tabasco, S.A.",RADIO CONCESIONADO,La Emisora del Hogar,FM  ,RADIO
11,TABASCO,126-CENTRO,740,XEKV-AM,XEKV-AM-740,RA00984-23,PRE TAB V3,PP,MORENA,2023-11-16,08:33:26,EXCEDENTE,"Radio Cañón, S.A. de C.V.",RADIO CONCESIONADO,ABC Radio,AM  ,RADIO
12,TABASCO,126-CENTRO,88.5,XHKV-FM,XHKV-FM-88.5,RA00984-23,PRE TAB V3,PP,MORENA,2023-11-16,08:33:26,EXCEDENTE,"Radio Cañón, S.A. de C.V.",RADIO CONCESIONADO,S/D,FM  ,RADIO
13,TABASCO,126-CENTRO,99.1,XHVHT-FM,XHVHT-FM-99.1,RA00782-23,C1_SA_REGISTRO EN LA LNERE VMRE RE_0923_RD,AE,INE,2023-11-16,12:16:48,EXCEDENTE,"Radiodifusora XEVHT-AM, S.A. de C.V.",RADIO CONCESIONADO,Oreja FM,FM  ,RADIO
14,TABASCO,126-CENTRO,99.1,XHVHT-FM,XHVHT-FM-99.1,RA00820-23,C1_SA_CONVOCATORIA SE-CAE_1023_RD,AE,INE,2023-11-16,12:33:34,EXCEDENTE,"Radiodifusora XEVHT-AM, S.A. de C.V.",RADIO CONCESIONADO,Oreja FM,FM  ,RADIO
15,TABASCO,126-CENTRO,106.3,XHRVI-FM,XHRVI-FM-106.3,RA00883-23,DAMOS RESULTADOS V1,PP,PRI,2023-11-16,13:36:58,EXCEDENTE,"Radiodifusoras Capital, S.A. de C.V.",RADIO CONCESIONADO,LOKURA FM,FM  ,RADIO
16,TABASCO,126-CENTRO,106.3,XHRVI-FM,XHRVI-FM-106.3,RA00984-23,PRE TAB V3,PP,MORENA,2023-11-16,13:56:06,EXCEDENTE,"Radiodifusoras Capital, S.A. de C.V.",RADIO CONCESIONADO,LOKURA FM,FM  ,RADIO
17,TABASCO,126-CENTRO,94.1,XHHGR-FM,XHHGR-FM-94.1,RA00925-23,LATIDOS,PP,PRD,2023-11-16,13:56:36,EXCEDENTE,"Transmisora Regional Radio Fórmula, S.A. de C.V.",RADIO CONCESIONADO,Radio Fórmula Tabasco,FM  ,RADIO
18,TABASCO,126-CENTRO,CANAL25,XHSPRVT-TDT,XHSPRVT-TDT-CANAL25,RV00661-23,C1_SA_REGISTRO EN LA LNERE VMRE RE_0923_TV,AE,INE,2023-11-16,21:19:49,EXCEDENTE,Sistema Público de Radiodifusión del Estado Mexicano,TELEVISION PERMISIONADO,Canal Catorce,TDT,TELEVISIÓN
19,TABASCO,126-CENTRO,CANAL23,XHVIH-TDT,XHVIH-TDT-CANAL23,RV00643-22,SABES QUE ES EL IEPC TABASCO 2022,AE,IEPCT,2023-11-16,22:55:13,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
20,TABASCO,126-CENTRO,CANAL23,XHVIH-TDT,XHVIH-TDT-CANAL23,RV00805-23,PRECAMPAÑA TABASCO,PP,MORENA,2023-11-16,22:55:43,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
21,TABASCO,126-CENTRO,90.9,XHJAP-FM,XHJAP-FM-90.9,RA00984-23,PRE TAB V3,PP,MORENA,2023-11-16,23:45:00,EXCEDENTE,"Grupo Cantón Radio, S.A. de C.V.",RADIO CONCESIONADO,Conexión 90.9,FM  ,RADIO
22,TABASCO,126-CENTRO,CANAL36.2,XHCTVL-TDT,XHCTVL-TDT-CANAL36.2,RV00643-22,SABES QUE ES EL IEPC TABASCO 2022,AE,IEPCT,2023-11-17,13:16:23,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
23,TABASCO,126-CENTRO,740,XEKV-AM,XEKV-AM-740,RA00925-23,LATIDOS,PP,PRD,2023-11-17,13:22:26,EXCEDENTE,"Radio Cañón, S.A. de C.V.",RADIO CONCESIONADO,ABC Radio,AM  ,RADIO
24,TABASCO,126-CENTRO,88.5,XHKV-FM,XHKV-FM-88.5,RA00925-23,LATIDOS,PP,PRD,2023-11-17,13:22:27,EXCEDENTE,"Radio Cañón, S.A. de C.V.",RADIO CONCESIONADO,S/D,FM  ,RADIO
25,TABASCO,126-CENTRO,95.7,XHTAB-FM,XHTAB-FM-95.7,RA00984-23,PRE TAB V3,PP,MORENA,2023-11-17,14:52:20,EXCEDENTE,"La Voz de Tabasco, S.A. de C.V.",RADIO CONCESIONADO,"Radio Tabasco, La Juvenil",FM  ,RADIO
26,TABASCO,126-CENTRO,CANAL36.2,XHCTVL-TDT,XHCTVL-TDT-CANAL36.2,RV00737-23,DAMOS RESULTADOS V1,PP,PRI,2023-11-17,22:41:45,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
27,TABASCO,126-CENTRO,91.7,XHVA-FM,XHVA-FM-91.7,RA00984-23,PRE TAB V3,PP,MORENA,2023-11-18,22:40:58,EXCEDENTE,"Radio Tabasco, S.A.",RADIO CONCESIONADO,La Emisora del Hogar,FM  ,RADIO
28,TABASCO,126-CENTRO,95.7,XHTAB-FM,XHTAB-FM-95.7,RA00984-23,PRE TAB V3,PP,MORENA,2023-11-18,22:52:36,EXCEDENTE,"La Voz de Tabasco, S.A. de C.V.",RADIO CONCESIONADO,"Radio Tabasco, La Juvenil",FM  ,RADIO
29,TABASCO,126-CENTRO,102.5,XHUTT-FM,XHUTT-FM-102.5,RA00958-23,DANTE GRANDEZA V2,PP,MC,2023-11-19,06:07:23,EXCEDENTE,Universidad Tecnológica de Tabasco,RADIO PERMISIONADO,S/D,FM  ,RADIO
30,TABASCO,126-CENTRO,102.5,XHUTT-FM,XHUTT-FM-102.5,RA00990-23,C5_SA_MONITOREO NOTICIARIOS PRECAMPAÑAS_1023_RD,AE,INE,2023-11-19,06:07:53,EXCEDENTE,Universidad Tecnológica de Tabasco,RADIO PERMISIONADO,S/D,FM  ,RADIO
31,TABASCO,126-CENTRO,102.5,XHUTT-FM,XHUTT-FM-102.5,RA00246-23,IEPCT INSTITUCIONAL 2023 01,AE,IEPCT,2023-11-19,06:08:24,EXCEDENTE,Universidad Tecnológica de Tabasco,RADIO PERMISIONADO,S/D,FM  ,RADIO
32,TABASCO,126-CENTRO,102.5,XHUTT-FM,XHUTT-FM-102.5,RA00998-23,JM TAB,PP,MORENA,2023-11-19,06:08:54,EXCEDENTE,Universidad Tecnológica de Tabasco,RADIO PERMISIONADO,S/D,FM  ,RADIO
33,TABASCO,126-CENTRO,102.5,XHUTT-FM,XHUTT-FM-102.5,RA00925-23,LATIDOS,PP,PRD,2023-11-19,06:12:08,EXCEDENTE,Universidad Tecnológica de Tabasco,RADIO PERMISIONADO,S/D,FM  ,RADIO
34,TABASCO,126-CENTRO,102.5,XHUTT-FM,XHUTT-FM-102.5,RA00828-23,C5_SA_APP CANDIDATURAS INDEPENDIENTES_1023_RD,AE,INE,2023-11-19,07:25:38,EXCEDENTE,Universidad Tecnológica de Tabasco,RADIO PERMISIONADO,S/D,FM  ,RADIO
