No.,ESTADO,CEVEM,MEDIO,SIGLAS,EMISORA,MATERIAL,VERSIÓN,TIPO ACTOR,ACTOR,FECHA TRANSMISIÓN,HORA TRANSMISIÓN,CALIFICACIÓN,NOMBRE CONCESIONARIO,TIPO CONCESIÓN,NOMBRE DE ESTACIÓN,TIPO MEDIO,MEDIO (RADIO/TELEVISIÓN)
1,YUCATAN,146-VALLADOLID,91.9,XHMET-FM,XHMET-FM-91.9,RA00142-23,CATÁLOGO 2023_RADIO_MAYA,AE,IEPAC,2023-11-08,18:37:34,EXCEDENTE,"Radio Valladolid, S.A. de C.V.",RADIO CONCESIONADO,"Xeme, La Poderosa de Oriente",FM  ,RADIO
2,YUCATAN,146-VALLADOLID,91.9,XHMET-FM,XHMET-FM-91.9,RA00783-23,C4_SD_FECHA LÍMITE TRÁMITES REGISTRALES RE_0923_RD,AE,INE,2023-11-08,18:38:15,EXCEDENTE,"Radio Valladolid, S.A. de C.V.",RADIO CONCESIONADO,"Xeme, La Poderosa de Oriente",FM  ,RADIO
3,YUCATAN,146-VALLADOLID,CANAL23.2,XHKYU-TDT,XHKYU-TDT-CANAL23.2,RV00799-23,JUSTICIA MORENA,PP,MORENA,2023-11-13,14:53:32,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,ADN 40,TDT,TELEVISIÓN
4,YUCATAN,146-VALLADOLID,92.7,XHUM-FM,XHUM-FM-92.7,RA00379-23,ACCIONES AFIRMATIVAS 2023,AE,TEPJF,2023-11-13,19:24:51,EXCEDENTE,"Medios Electrónicos de Valladolid, S.A. de C.V.",RADIO CONCESIONADO,S/D,FM  ,RADIO
5,YUCATAN,146-VALLADOLID,92.7,XHUM-FM,XHUM-FM-92.7,RA00142-23,CATÁLOGO 2023_RADIO_MAYA,AE,IEPAC,2023-11-13,19:25:21,EXCEDENTE,"Medios Electrónicos de Valladolid, S.A. de C.V.",RADIO CONCESIONADO,S/D,FM  ,RADIO
6,YUCATAN,146-VALLADOLID,92.7,XHUM-FM,XHUM-FM-92.7,RA00883-23,DAMOS RESULTADOS V1,PP,PRI,2023-11-13,19:25:52,EXCEDENTE,"Medios Electrónicos de Valladolid, S.A. de C.V.",RADIO CONCESIONADO,S/D,FM  ,RADIO
7,YUCATAN,146-VALLADOLID,CANAL24,XHVAD-TDT,XHVAD-TDT-CANAL24,RV00081-20,VALORES 2020 MAYA_TELEVISIÓN ,AE,IEPAC,2023-11-16,22:55:16,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
8,YUCATAN,146-VALLADOLID,CANAL24,XHVAD-TDT,XHVAD-TDT-CANAL24,RV00827-23,PRE GOB YUC MANIFESTO RB V2,PP,PAN,2023-11-16,22:55:46,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,Azteca 7,TDT,TELEVISIÓN
9,YUCATAN,146-VALLADOLID,CANAL32.2,XHVTT-TDT,XHVTT-TDT-CANAL32.2,RV00699-23,C1_SA_CONVOCATORIA SE-CAE_1023_TV,AE,INE,2023-11-19,09:08:44,EXCEDENTE,"Televimex, S.A. de C.V.",TELEVISION CONCESIONADO,Canal 5,TDT,TELEVISIÓN
10,YUCATAN,146-VALLADOLID,CANAL32.2,XHVTT-TDT,XHVTT-TDT-CANAL32.2,RV00661-23,C1_SA_REGISTRO EN LA LNERE VMRE RE_0923_TV,AE,INE,2023-11-19,09:10:14,EXCEDENTE,"Televimex, S.A. de C.V.",TELEVISION CONCESIONADO,Canal 5,TDT,TELEVISIÓN
