No.,ESTADO,CEVEM,MEDIO,SIGLAS,EMISORA,MATERIAL,VERSIÓN,TIPO ACTOR,ACTOR,FECHA TRANSMISIÓN,HORA TRANSMISIÓN,CALIFICACIÓN,NOMBRE CONCESIONARIO,TIPO CONCESIÓN,NOMBRE DE ESTACIÓN,TIPO MEDIO,MEDIO (RADIO/TELEVISIÓN)
1,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00531-23,LATIDOS MORENA,PP,MORENA,2023-11-01,22:39:16,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
2,AGUASCALIENTES,1-AGUASCALIENTES,90.5,XHUVA-FM,XHUVA-FM-90.5,RA00664-23,POBREZA,PP,PRI,2023-11-02,14:25:07,EXCEDENTE,"Radio Central, S.A. de C.V.",RADIO CONCESIONADO,Uva 90.5,FM  ,RADIO
3,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00751-23,DAMOS RESULTADOS V1 ORD,PP,PRI,2023-11-03,22:39:38,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
4,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18,XHCTAG-TDT,XHCTAG-TDT-CANAL18,RV00676-23,CO_70 AÑOS VOTO MUJER_0923_TV,AE,INE,2023-11-04,14:49:54,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Imagen TV,TDT,TELEVISIÓN
5,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00656-23,C4_SD_FECHA LÍMITE INSCRIPCIÓN AL PADRÓN ELECTORAL RE_0923_TV,AE,INE,2023-11-06,22:38:38,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
6,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00661-23,C1_SA_REGISTRO EN LA LNERE VMRE RE_0923_TV,AE,INE,2023-11-08,22:41:13,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
7,AGUASCALIENTES,1-AGUASCALIENTES,95.7,XHAGA-FM,XHAGA-FM-95.7,RA00745-23,MUJERES EN ACCIÓN V1 ,PP,PAN,2023-11-09,10:25:24,EXCEDENTE,"Radio Ags, S.A. de C.V.",RADIO CONCESIONADO,Los 40 Principales,FM  ,RADIO
8,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00699-23,C1_SA_CONVOCATORIA SE-CAE_1023_TV,AE,INE,2023-11-09,21:57:21,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
9,AGUASCALIENTES,1-AGUASCALIENTES,105.3,XHUZ-FM,XHUZ-FM-105.3,RA00128-23,EL PT ES LA 4T,PP,PT,2023-11-10,07:28:34,EXCEDENTE,"Radio Central, S.A. de C.V.",RADIO CONCESIONADO,105 Digital,FM  ,RADIO
10,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00662-23,C4_SD_FECHA LÍMITE TRÁMITES REGISTRALES RE_0923_TV,AE,INE,2023-11-10,22:39:59,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
11,AGUASCALIENTES,1-AGUASCALIENTES,CANAL30.2,XHJCM-TDT,XHJCM-TDT-CANAL30.2,RV00800-23,ECONOMIA MORENA,PP,MORENA,2023-11-13,14:53:03,EXCEDENTE,"Televisión Azteca III, S.A. de C.V.",TELEVISION CONCESIONADO,ADN 40,TDT,TELEVISIÓN
12,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00717-23,DANTE GRANDEZA,PP,MC,2023-11-13,22:39:12,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
13,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00662-23,C4_SD_FECHA LÍMITE TRÁMITES REGISTRALES RE_0923_TV,AE,INE,2023-11-14,21:18:34,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
14,AGUASCALIENTES,1-AGUASCALIENTES,CANAL18.2,XHCTAG-TDT,XHCTAG-TDT-CANAL18.2,RV00639-23,MUJERES EN ACCIÓN V1,PP,PAN,2023-11-14,21:34:20,EXCEDENTE,"Cadena Tres I, S.A. de C.V.",TELEVISION CONCESIONADO,Excélsior TV,TDT,TELEVISIÓN
